email,owner_email,property_id,start_date,end_date,duration
'sdentith7a@mac.com','jfeckey3l@intel.com',18595182,'2021-08-30 19:46:16','2021-09-09 19:46:16',10
'bpentin9q@google.es','mdiviney4i@artisteer.com',10540937,'2021-05-17 22:26:15','2021-06-10 22:26:15',24
'atop9l@people.com.cn','skalberer7y@com.com',29190854,'2021-12-13 14:18:19','2022-01-02 14:18:19',20
'nchessil4m@desdev.cn','agraffin4q@opera.com',19273736,'2021-11-06 11:25:42','2021-11-15 11:25:42',9
'acogswell3d@paypal.com','vpeytoco@princeton.edu',960655,'2022-07-12 18:56:42','2022-07-15 18:56:42',3
'bdeathridgeq@wsj.com','moakly38@friendfeed.com',26630989,'2021-03-06 01:14:05','2021-03-11 01:14:05',5
'bchapelle2i@list-manage.com','jfeckey3l@intel.com',18595182,'2021-12-11 19:34:28','2022-01-08 19:34:28',28
'bmothersolem@hp.com','atregona64@hexun.com',460067,'2023-01-24 21:12:56','2023-01-27 21:12:56',3
'gskinn74@nsw.gov.au','erosenthal1b@bloomberg.com',36620178,'2022-02-16 03:30:17','2022-03-06 03:30:17',18
'moakly38@friendfeed.com','atregona64@hexun.com',460067,'2021-12-14 01:07:07','2021-12-31 01:07:07',17
'aberkely10@sourceforge.net','idablinck@springer.com',37521525,'2021-11-22 18:32:52','2021-12-19 18:32:52',27
'khasnipby@feedburner.com','afeaster9f@biglobe.ne.jp',7093081,'2021-03-26 05:30:30','2021-04-19 05:30:30',24
'tswiers47@reverbnation.com','skalberer7y@com.com',29190854,'2022-10-03 14:38:21','2022-10-15 14:38:21',12
'cnelligan76@github.io','kkaaskoopercm@redcross.org',26668940,'2021-01-09 02:42:04','2021-01-16 02:42:04',7
'hgribbon7b@icio.us','dspicern@oracle.com',13234860,'2021-05-06 15:33:22','2021-05-27 15:33:22',21
'slazerc@disqus.com','chiers7t@msn.com',10856619,'2021-06-15 17:38:49','2021-06-30 17:38:49',15
'drollason86@china.com.cn','abruntjedp@slideshare.net',36070744,'2023-01-23 04:20:19','2023-02-09 04:20:19',17
'wmalamorea2@imgur.com','pskelhornedd@addthis.com',14538883,'2022-08-28 09:34:55','2022-09-09 09:34:55',12
'amatthensen9i@topsy.com','tdoudney6j@parallels.com',22530218,'2021-12-18 22:28:41','2022-01-05 22:28:41',18
'tlilloeb3@lulu.com','ladie8a@sciencedirect.com',35292514,'2021-09-04 11:34:02','2021-09-17 11:34:02',13
'lshimmings1v@bbb.org','pskelhornedd@addthis.com',14538883,'2021-01-18 07:15:14','2021-02-15 07:15:14',28
'cwoodfin7e@gizmodo.com','drigg3s@constantcontact.com',5577085,'2022-04-18 03:09:37','2022-05-04 03:09:37',16
'dkinnett13@netlog.com','alevett65@wufoo.com',28781817,'2021-11-07 13:31:40','2021-11-17 13:31:40',10
'shuzzeyb7@globo.com','pskelhornedd@addthis.com',14538883,'2022-03-30 09:56:44','2022-03-31 09:56:44',1
'ddiviny6t@hhs.gov','ksheircliffe84@si.edu',34348107,'2022-07-30 08:15:28','2022-08-12 08:15:28',13
'churton1d@mozilla.com','mkennawayk@squarespace.com',28226672,'2021-09-06 18:00:38','2021-09-17 18:00:38',11
'aalster57@squidoo.com','skalberer7y@com.com',20501555,'2021-04-07 01:18:05','2021-04-13 01:18:05',6
'ebirraneaw@netlog.com','mbraime2g@is.gd',25428262,'2021-02-11 05:41:42','2021-02-17 05:41:42',6
'lzimmermeister6l@wisc.edu','sharrill42@google.es',24804922,'2022-04-24 16:34:50','2022-05-11 16:34:50',17
'bgorrissenaz@nymag.com','dmackinder7h@miitbeian.gov.cn',33784572,'2021-02-20 21:11:48','2021-03-18 21:11:48',26
'ogulley5a@omniture.com','bcollocott1a@foxnews.com',29006583,'2022-02-28 03:49:14','2022-03-25 03:49:14',25
